COMMAND     PID USER   FD      TYPE             DEVICE SIZE/OFF   NODE NAME
tuic-serv 11653 root  cwd       DIR                8,1     4096      2 /
tuic-serv 11653 root  rtd       DIR                8,1     4096      2 /
tuic-serv 11653 root  txt       REG                8,1  2120192    109 /usr/local/bin/tuic-server
tuic-serv 11653 root  mem       REG                8,1  2125328  28460 /usr/lib/x86_64-linux-gnu/libc.so.6
tuic-serv 11653 root  mem       REG                8,1   952616  28475 /usr/lib/x86_64-linux-gnu/libm.so.6
tuic-serv 11653 root  mem       REG                8,1   183024  25911 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
tuic-serv 11653 root  mem       REG                8,1   236616  28454 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
tuic-serv 11653 root    0r      CHR                1,3      0t0      5 /dev/null
tuic-serv 11653 root    1u     unix 0xffff89f4b9c20480      0t0 216910 type=STREAM (CONNECTED)
tuic-serv 11653 root    2u     unix 0xffff89f4b9c20480      0t0 216910 type=STREAM (CONNECTED)
tuic-serv 11653 root    3u  a_inode               0,16        0    116 [eventpoll:656,658,668,669,681,719,745,746,753,754,767,769,772,785,787,790,808,848,849,887,946,980,982,999,1029,1043,1088,1248,1307,1346,1392,1427...]
tuic-serv 11653 root    4u  a_inode               0,16        0    116 [eventfd:1]
tuic-serv 11653 root    5u  a_inode               0,16        0    116 [eventpoll:656,658,668,669,681,719,745,746,753,754,767,769,772,785,787,790,808,848,849,887,946,980,982,999,1029,1043,1088,1248,1307,1346,1392,1427...]
tuic-serv 11653 root    6u     IPv6             216915      0t0    UDP *:12443 
tuic-serv 11653 root    7u     IPv4             232824      0t0    TCP jp-n01.internal.cloudapp.net:51500->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root    8u     IPv4             219762      0t0    TCP jp-n01.internal.cloudapp.net:59886->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
